UNIV_NM,LC,LON,LAT
서울벤처대학원대학교,서울특별시,127.0443884,37.51077002
한림국제대학원대학교,서울특별시,127.0514155,37.50100599
국제영어대학원대학교,서울특별시,127.1295117,37.52426606
개신대학원대학교,서울특별시,127.0245234,37.62956116
서울사이버대학교,서울특별시,127.0268513,37.62966709
한신대학교신학대학원,서울특별시,127.0113707,37.63452017
서울디지털대학교,서울특별시,126.8540304,37.55497622
케이씨대학교,서울특별시,126.8543511,37.5485756
정석대학,서울특별시,126.8140991,37.5459051
한국폴리텍I대학서울강서캠퍼스,서울특별시,126.8425731,37.54917025
서울미디어대학원대학교,서울특별시,126.8470089,37.55821094
순복음대학원대학교,서울특별시,126.9818698,37.47343061
서울대학교,서울특별시,126.9596124,37.4652213
국제신학대학원대학교,서울특별시,126.9226217,37.48299334
장로회신학대학교,서울특별시,127.1037455,37.55020263
세종사이버대학교,서울특별시,127.0727547,37.55354311
건국대학교,서울특별시,127.0737435,37.54254562
세종대학교,서울특별시,127.074136,37.55069675
서울한영대학교,서울특별시,126.8515272,37.49654629
동양미래대학교,서울특별시,126.8676424,37.50110622
성공회대학교,서울특별시,126.825709,37.48750606
서울불교대학원대학교,서울특별시,126.9024165,37.46640182
서울과학기술대학교,서울특별시,127.0796579,37.62987116
광운대학교,서울특별시,127.0596871,37.61970854
한국성서대학교,서울특별시,127.0642509,37.64860692
인덕대학교,서울특별시,127.0550714,37.63108926
서울여자대학교,서울특별시,127.090501,37.62777812
삼육대학교,서울특별시,127.1060449,37.64290676
덕성여자대학교,서울특별시,127.0165895,37.65130386
경희대학교,서울특별시,127.0550272,37.59617651
경희사이버대학교,서울특별시,127.0550272,37.59617651
삼육보건대학교,서울특별시,127.0644589,37.58932717
서울시립대학교,서울특별시,127.0566136,37.58482912
한국외국어대학교,서울특별시,127.0584179,37.59655242
총신대학교,서울특별시,126.9666547,37.48918878
숭실대학교,서울특별시,126.9572378,37.49635871
서울성경신학대학원대학교,서울특별시,126.9137404,37.49029439
중앙대학교,서울특별시,126.956953,37.50456374
서강대학교,서울특별시,126.9422487,37.55103897
홍익대학교,서울특별시,126.925659,37.55072668
명지전문대학,서울특별시,126.9250734,37.58450027
서울여자간호대학교,서울특별시,126.9474976,37.59752081
명지대학교,서울특별시,126.9215627,37.5800842
경기대학교,서울특별시,126.9618866,37.56481464
감리교신학대학교,서울특별시,126.9623447,37.5674334
추계예술대학교,서울특별시,126.9533419,37.56271497
연세대학교,서울특별시,126.9395134,37.56470157
서울과학종합대학원대학교,서울특별시,126.9485551,37.55737337
이화여자대학교,서울특별시,126.9474695,37.56256311
디지털서울문화예술대학교,서울특별시,126.9438788,37.58544929
호서대학교벤처대학원,서울특별시,127.0236162,37.48354991
예명대학원대학교,서울특별시,127.0238048,37.48428262
서울외국어대학원대학교,서울특별시,127.0389659,37.48130121
횃불트리니티신학대학원대학교,서울특별시,127.0338124,37.47930462
가톨릭대학교,서울특별시,127.0063687,37.50106658
백석대학교교육대학원,서울특별시,126.9964801,37.48029672
치유상담대학원대학교,서울특별시,126.9954534,37.48858119
서울교육대학교,서울특별시,127.0162525,37.49017734
한국상담대학원대학교,서울특별시,127.0240169,37.48689047
한양여자대학교,서울특별시,127.0473011,37.55765441
한양사이버대학교,서울특별시,127.0473011,37.55765441
한양대학교상담심리대학원,서울특별시,127.0425009,37.55855886
한양대학교,서울특별시,127.0425009,37.55855886
성신여자대학교,서울특별시,127.0220384,37.59194337
한성대학교,서울특별시,127.0094674,37.58239641
서경대학교,서울특별시,127.0124454,37.61511851
동방문화대학원대학교,서울특별시,126.9923762,37.5970118
고려대학교,서울특별시,127.0263436,37.58425573
국민대학교,서울특별시,126.9965943,37.61114994
동덕여자대학교,서울특별시,127.0430525,37.60740737
한국예술종합학교,서울특별시,127.0558792,37.60380141
한국체육대학교,서울특별시,127.1311862,37.51960429
베뢰아국제대학원대학교,서울특별시,126.8982689,37.5009212
서울사회복지대학원대학교,서울특별시,126.9031254,37.51953762
한국폴리텍I대학서울정수캠퍼스,서울특별시,126.9965548,37.52914474
한반도국제대학원대학교,서울특별시,126.9601528,37.54307758
숙명여자대학교,서울특별시,126.9654365,37.54530589
서울기독대학교,서울특별시,126.9122749,37.60088951
서울대학교치의학대학원,서울특별시,126.9985668,37.57766252
한국방송통신대학교,서울특별시,127.002948,37.57882416
고려사이버대학교,서울특별시,126.9869225,37.58683661
북한대학원대학교,서울특별시,126.9834658,37.58630666
숭실사이버대학교,서울특별시,126.9887889,37.57447094
덕성여자대학교교육대학원,서울특별시,126.9878918,37.57582372
성균관대학교,서울특별시,126.9917032,37.58712884
용문상담심리대학원대학교,서울특별시,126.9959018,37.5760584
가톨릭대학교,서울특별시,127.004275,37.58603787
배화여자대학교,서울특별시,126.966873,37.57833453
상명대학교,서울특별시,126.9561409,37.60406446
숭의여자대학교,서울특별시,126.9874194,37.55690287
동국대학교,서울특별시,127.0006066,37.55839255
한국열린사이버대학교,서울특별시,127.0905268,37.59810489
서일대학교,서울특별시,127.0975054,37.58624575
,부산광역시,,
,대구광역시,,
,인천광역시,,
,광주광역시,,
,대전광역시,,
,울산광역시,,
,세종특별자치시,,
,경기도,,
,충청북도,,
,충청남도,,
,전라남도,,
,경상북도,,
,경상남도,,
,제주특별자치도,,
,강원특별자치도,,
,전북특별자치도,,
